Date,FY,Products,dia,dia group,grade,type,length,Voucher Type,Quantity,Rate,Value
4/21/2018,FY 19,32MM TATA TISCON FE500D (S),32 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,11.89,46500,552885
4/21/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.46,49000,169540
4/21/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.1,47000,98700
4/21/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.93,47000,184710
4/21/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.01,50500,51005
4/21/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.57,49000,27930
4/21/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.26,48500,61110
4/21/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.13,48500,54805
4/21/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,6.25,48500,303125
4/21/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.96,47000,233120
4/21/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.89,46500,180885
4/21/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.58,46500,166470
4/21/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,7.36,46500,342240
4/21/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,6.81,48800,332328
4/21/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,9.76,47300,461648
4/21/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.51,46800,70668
4/21/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.75,46800,175500
4/21/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.26,46800,105768
4/21/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.57,46800,120276
4/23/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.08,50000,104000
4/23/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.87,48500,90695
4/23/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.12,48000,197760
4/23/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.86,48000,137280
4/23/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.61,50000,130500
4/23/2018,FY 19,TISCON-TMT IS1786 Fe500D 8mm L 4-7m,08 MM,08 MM,500D,SHORT LENGTH,4 - 7 METER,Sales A/c GST,2.46,46000,113160
4/23/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.22,48000,250560
4/23/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.98,48000,191040
4/23/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.02,48000,96960
4/23/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,13.75,50000,681954.5
4/23/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,9.91,48500,480635
4/23/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,10.7,48000,513600
4/23/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1,50000,50000
4/23/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2,48500,97000
4/23/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.01,48000,48480
4/23/2018,FY 19,TISCON-TMT IS:1786 Fe500D 16mm  L 4-7m,16 MM,12 MM - 32 MM,500D,SHORT LENGTH,4 - 7 METER,Sales A/c GST,5.75,44000,253000
4/23/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,46500,681954.5
4/23/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.7,50000,235000
4/23/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.57,48500,76145
4/23/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.56,48000,266880
4/24/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.36,50000,168000
4/24/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.39,48500,67415
4/24/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.08,48000,147840
4/24/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.07,48000,147360
4/24/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,10.19,48500,494215
4/24/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.92,47000,231240
4/24/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.12,46500,238080
4/24/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,7.61,46500,353865
4/24/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,10.09,49750,501977.5
4/24/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.91,48250,236907.5
4/24/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.21,47750,248777.5
4/24/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,11.09,47750,529547.5
4/24/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.55,50200,77810
4/24/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.61,48200,222202
4/24/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.98,48200,95436
4/24/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.95,46700,44365
4/24/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.82,46200,176484
4/24/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.94,46200,228228
4/24/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,10.2,50000,510000
4/24/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.97,48500,241045
4/24/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,10.03,48000,481440
4/24/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.92,48500,141620
4/24/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.14,48000,246720
4/24/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.84,48000,184320
4/25/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.01,50200,201302
4/25/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.95,48700,143665
4/25/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.69,48200,226058
4/25/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.04,48200,98328
4/25/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.8,50000,240000
4/25/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.43,48500,69355
4/25/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.95,48000,141600
4/25/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.01,48000,48480
4/25/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,9.77,50000,488500
4/25/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.96,48500,240560
4/25/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,9.04,48000,433920
4/25/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.3,48000,206400
4/25/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.55,48000,170400
4/25/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.71,50000,85500
4/25/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.77,48500,134345
4/25/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.04,48000,145920
4/25/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.44,48000,117120
4/25/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.03,48200,49646
4/25/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,7.53,46200,347886
4/25/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.8,46200,36960
4/25/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,11.14,46200,514668
4/25/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.01,50200,100902
4/25/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2,48700,97400
4/25/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.02,48200,97364
4/26/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.15,48700,104705
4/26/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,13.78,48700,671086
4/26/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.83,51000,144330
4/26/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.81,49500,188595
4/26/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.32,49000,113680
4/26/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.06,49000,149940
4/26/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,8.51,48250,410607.5
4/26/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,10.31,47750,492302.5
4/26/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,11.95,47750,570612.5
4/26/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.9,48200,284380
4/26/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.57,48500,173145
4/26/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.02,48000,96960
4/26/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.43,48000,260640
4/27/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.07,50000,203500
4/27/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.01,48000,96480
4/27/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.05,48000,242400
4/27/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.97,48000,94560
4/27/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.01,47500,95475
4/27/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.84,47500,182400
4/27/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.9,47500,232750
4/27/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.13,47500,148675
4/27/2018,FY 19,CUSTOMISED 08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,CAB,CUSTOMISED,Sales A/c GST,4,52400,209600
4/27/2018,FY 19,CUSTOMISED 08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,CAB,CUSTOMISED,Sales A/c GST,2.1,52400,110040
4/27/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,48000,681954.5
4/27/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,50000,681954.5
4/27/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,6.83,48500,331255
4/27/2018,FY 19,CUSTOMISED 16 MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,CAB,CUSTOMISED,Sales A/c GST,14.55875,49500,681954.5
4/27/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.49,50000,24500
4/27/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.75,48000,36000
4/27/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.74,48000,179520
4/28/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,47000,681954.5
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.95,50000,247500
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,6.93,48000,332640
4/28/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,46000,681954.5
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.03,50000,251500
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.92,48000,92160
4/28/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.98,48000,239040
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,50000,681954.5
4/28/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,7,48500,339500
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,48000,681954.5
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3,50200,150600
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.49,48200,23618
4/28/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.94,48200,93508
4/28/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.03,48200,49646
4/28/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.17,48200,104594
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,6.71,50000,335500
4/28/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.65,48500,177025
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.96,48000,190080
4/28/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.97,48000,190560
4/28/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.68,48000,176640
4/28/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.12,48000,197760
4/28/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,11.37,46000,523020
4/28/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,6.22,46000,286120
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1,50000,50000
4/28/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.01,48500,97485
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.01,48000,48480
4/28/2018,FY 19,TISCON-TMT IS1786 Fe500D 8mm L 4-7m,08 MM,08 MM,500D,SHORT LENGTH,4 - 7 METER,Sales A/c GST,2.62,44200,115804
4/28/2018,FY 19,TISCON-TMT IS:1786 Fe-500D 8mm L 7-10,08 MM,08 MM,500D,SHORT LENGTH,7 - 10 METER,Sales A/c GST,11.61,45700,530577
4/28/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,45700,681954.5
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.92,45200,177184
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.91,50000,95500
4/28/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,2.16,48500,104760
4/28/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.93,48000,44640
4/28/2018,FY 19,TISCON-TMT IS1786 Fe500D 8mm L 4-7m,08 MM,08 MM,500D,SHORT LENGTH,4 - 7 METER,Sales A/c GST,2.6,45000,117000
4/28/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.48,48000,215040
4/28/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.66,46000,168360
4/28/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.61,46000,258060
4/30/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,12.83,48500,622255
4/30/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.4,48000,681954.5
4/30/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,50000,681954.5
4/30/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,8.03,50000,401500
4/30/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.95,48500,94575
4/30/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.95,48000,93600
4/30/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,4.1,48000,196800
4/30/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.94,48000,45120
4/30/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.34,48800,65392
4/30/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.55,47300,26015
4/30/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.91,48800,93208
4/30/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.83,47300,39259
4/30/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.23,46800,10764
4/30/2018,FY 19,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.99,48200,95918
4/30/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,0.92,46200,42504
4/30/2018,FY 19,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.98,46200,91476
4/30/2018,FY 19,CUSTOMISED 12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,CAB,CUSTOMISED,Sales A/c GST,0.36,48500,17460
4/30/2018,FY 19,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,1.5,46500,69750
4/30/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,5.21,46000,239660
4/30/2018,FY 19,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,3.84,46000,176640
4/30/2018,FY 19,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,14.55875,46000,681954.5
4/30/2018,FY 19,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales A/c GST,6.01,48200,289682
