Residue,Blaine,C3A,C4AF,G-SO3,G-Moisture,FA-Blaine,Gypsum Weigh Feeder_TPH,Fly Ash SFF_TPH,Drive Power_MILL_KW,Separator_speed_RPM,Position_Master Roller1_mm,Counter Pressure_HLSM_mm,Hydraulic_pressure,Fan Power_Kw,categorical__cem_type_Non Premium,categorical__cem_type_Premium
,326.5483898,0.395675151,1.759285389,0.928088928,2.678260016,217.4502008,46.81456141,29.03876244,172.8953917,1240.889484,0.947850523,19.73715009,65.06125966,107.5615561,0,0
,390.9797562,0.193582714,1.85819406,1.658385256,2.433602239,239.4179049,18.71774823,21.28626474,185.1309297,1803.500678,39.88371635,27.50519509,46.91441439,52.33324031,1,1
,354.0005485,1.208876471,0.519773923,0.963246045,4.931360677,272.7855836,23.95003955,32.8631952,191.5765049,1023.854118,96.09924025,29.03076758,68.38200535,117.1375203,0,0
,320.3385652,0.966561502,0.287209374,1.759177083,2.416035468,295.2391795,46.03214251,29.25593915,249.9112156,1944.569978,23.450685,10.61703368,61.15432728,91.63939492,0,1
,314.4767597,1.157359453,0.131102854,1.564344308,2.184491714,357.7948981,38.57364617,36.92191876,245.3229867,1087.928031,51.99248793,42.54783517,47.08073132,175.6958634,0,1
,480.4003662,1.518612567,1.56860725,1.192433986,3.214439481,345.7554445,34.68104859,16.48662921,184.6102079,1578.313133,77.62986723,25.96000209,34.01210176,61.7874231,1,1
,414.1909506,0.239413998,1.245349707,1.220316477,1.678967055,317.7704281,13.86816892,12.90682065,156.9397869,1341.648517,38.81931247,47.10727118,47.16994848,190.0050474,0,0
,356.5160905,1.065142587,0.442374958,1.474346537,1.049382884,344.1615547,46.6247599,10.79598724,102.9273528,1860.160812,35.08053291,18.93792877,34.52701757,177.0994648,0,1
,339.9349025,0.774136473,1.32682579,0.862194873,4.5258896,279.0273757,30.45967356,31.00960911,119.470878,1986.053159,20.76744765,37.535447,70.30824671,57.83709722,1,1
,329.36247,1.339557348,1.329902237,0.595759665,3.664068769,304.5606435,48.73257391,47.92005782,132.8611396,1460.838204,40.28187161,35.29243012,20.82972217,55.56257028,0,0
,377.6165924,1.931966227,1.220945996,1.690754203,3.113330427,299.897586,47.39786092,13.34755833,153.3597835,1451.063082,61.22563607,11.68303788,34.6899384,89.85266971,0,1
,383.4667424,1.868339213,0.196823579,0.763805641,4.493533603,386.8488262,32.13424657,27.42209571,262.3797345,1772.391662,31.50860444,12.68058512,65.89261006,104.7867264,1,0
,384.6281842,1.138387548,1.613586532,0.322519736,4.094400592,362.7829197,30.38041446,35.80294838,292.372147,1179.51299,78.07167425,35.98845538,55.54620451,136.4869223,0,1
,480.3985347,1.057748037,1.916599221,1.872336346,1.20880659,393.087802,34.18912225,31.05820479,268.6465011,1879.241838,89.49586364,1.110935207,28.97747827,118.2050702,1,1
